time,Normalized_Flux,error
2335.574559,0.998925915,0.000682945
2335.57479,0.99903753,0.000683314
2335.575022,0.999373109,0.000683593
2335.575253,0.999386746,0.000683568
2335.575485,0.998078206,0.000683359
2335.575716,0.998974799,0.000683606
2335.575948,0.998305528,0.000683189
2335.576179,0.99802135,0.00068296
2335.576411,0.998800138,0.000683451
2335.576642,0.999227086,0.000683785
2335.576874,0.998224334,0.000683089
2335.577105,0.999965278,0.000684149
2335.577337,1.000623954,0.000683671
2335.577568,0.999577247,0.0006832
2335.5778,0.999333142,0.000683652
2335.578031,0.998487741,0.000683203
2335.578263,0.998890248,0.000683431
2335.578494,0.998653171,0.000683257
2335.578726,0.999523223,0.000683548
2335.578957,0.999172328,0.000683478
2335.579189,0.999719913,0.000684091
2335.57942,1.000627205,0.000683887
2335.579651,0.999609557,0.000683228
2335.579883,0.998297136,0.000683293
2335.580114,0.999435526,0.000683806
2335.580346,1.000465972,0.000683823
2335.580577,0.998211746,0.000684207
2335.580809,0.999880307,0.000683768
2335.58104,1.000414151,0.000683747
2335.581272,0.999905379,0.000683779
2335.581503,0.999248277,0.00068324
2335.581735,0.998284547,0.000683145
2335.581966,0.998447669,0.000683244
2335.582198,0.998850386,0.000683595
2335.582429,0.998734574,0.000683745
2335.582661,1.00215499,0.000684758
2335.582892,0.999405419,0.000683426
2335.583124,0.998321053,0.00068323
2335.583355,0.999151977,0.000683995
2335.583587,0.999012983,0.000683264
2335.583818,0.999875902,0.000683736
2335.58405,0.998482182,0.000683256
2335.584281,0.998238915,0.000682929
2335.584513,0.999199183,0.000683396
2335.584744,0.998553724,0.000683102
2335.584976,0.999558785,0.000683386
2335.585207,0.999679631,0.000683626
2335.585439,0.99877664,0.000683843
2335.58567,1.001177833,0.000683807
2335.585902,0.999136557,0.000683349
2335.586133,0.998425745,0.000682632
2335.586365,0.999777819,0.000683818
2335.586596,0.999729984,0.000683914
2335.586828,0.999944612,0.000683522
2335.587059,0.998129293,0.000682439
2335.587291,0.9984205,0.000683454
2335.587522,0.997246128,0.000682861
2335.587754,0.998957805,0.000683776
2335.587985,1.000156093,0.000683412
2335.588216,0.998829825,0.000683303
2335.588448,1.001750804,0.000687603
2335.588679,0.998435081,0.000683157
2335.588911,0.999513153,0.000683577
2335.589142,1.000076788,0.00068368
2335.589374,0.998749575,0.000683426
2335.589605,0.998972491,0.000683551
2335.589837,0.998663661,0.000683579
2335.590068,0.999583541,0.000683778
2335.5903,1.000815399,0.000683596
2335.590531,0.998631456,0.000683039
2335.590763,0.998667647,0.000683469
2335.590994,0.998937139,0.000683215
2335.591226,0.997514571,0.000682768
2335.591457,0.99783536,0.000683077
2335.591689,0.99937206,0.0006836
2335.59192,0.99898896,0.000683895
2335.592152,0.999770161,0.000683544
2335.592383,0.999112429,0.000682983
2335.592615,0.999665994,0.000683605
2335.592846,0.999781281,0.000684026
2335.593078,0.999647426,0.000683472
2335.593309,0.999256983,0.000682923
2335.593541,0.999730194,0.000683203
2335.593772,0.998774332,0.000683248
2335.594004,0.998856575,0.000683161
2335.594235,0.998443473,0.000682832
2335.594467,1.000382471,0.000683762
2335.594698,0.999570639,0.000683552
2335.59493,0.998611735,0.000683357
2335.595161,0.998918257,0.000684188
2335.595393,1.000296032,0.000683511
2335.595624,0.998764786,0.000683473
2335.595856,0.999540112,0.000684089
2335.596087,0.999063755,0.000683276
2335.596319,0.998953084,0.000683232
2335.59655,0.999780966,0.000683372
2335.596781,0.99964921,0.000683916
2335.597013,0.998202514,0.000682979
2335.597244,0.997633739,0.000682713
2335.597476,1.000343342,0.000683659
2335.597707,0.998299338,0.000683314
2335.597939,0.998055338,0.00068344
2335.59817,0.998836434,0.000683287
2335.598402,0.999452624,0.000683264
2335.598633,0.998423752,0.00068329
2335.598865,0.999963285,0.00068387
2335.599096,0.99991503,0.000683464
2335.599328,0.998871681,0.000683244
2335.599559,0.998815558,0.000683406
2335.599791,0.998290107,0.000682832
2335.600022,0.998662717,0.000683156
2335.600254,1.000344391,0.000683594
2335.600485,0.997123708,0.000683006
2335.600717,0.999778238,0.000683716
2335.600948,0.999059034,0.000683597
2335.60118,0.999564554,0.000683804
2335.601411,0.999955732,0.000683582
2335.601643,0.998816607,0.000683305
2335.601874,0.998300702,0.000683036
2335.602106,0.999369123,0.000684134
2335.602337,0.999473815,0.000684043
2335.602569,0.99868653,0.000683229
2335.6028,0.999279013,0.000683602
2335.603032,0.998732896,0.000682716
2335.603263,0.998474839,0.000683638
2335.603495,0.998220453,0.000683056
2335.603726,0.998711076,0.000683232
2335.603958,0.998935251,0.000683133
2335.604189,0.998606385,0.00068366
2335.604421,0.999635992,0.000683957
2335.604652,0.999885238,0.000683849
2335.604884,0.998267553,0.000683133
2335.605115,0.998703628,0.000683288
2335.605346,0.999764601,0.000683787
2335.605578,0.997980648,0.000683151
2335.605809,0.998143875,0.000682759
2335.606041,0.999142641,0.000683158
2335.606272,0.999099841,0.000683193
2335.606504,1.000253232,0.00068354
2335.606735,0.999894364,0.000685269
2335.606967,1.000397471,0.000683664
2335.607198,0.99909596,0.000683235
2335.60743,1.001086988,0.000684205
2335.607661,0.99870751,0.000683636
2335.607893,0.997608248,0.000683144
2335.608124,1.00039852,0.000683683
2335.608356,0.999703968,0.000683638
2335.608587,0.997850675,0.00068291
2335.608819,0.997830324,0.000683065
2335.60905,0.999194252,0.000683322
2335.609282,0.99854292,0.000683231
2335.609513,0.999923842,0.000683423
2335.609745,0.998229999,0.000683133
2335.609976,1.000225538,0.000683892
2335.610208,0.998896332,0.000683251
2335.610439,0.999000395,0.000683622
2335.610671,0.998721776,0.000683207
2335.610902,0.99915974,0.000683251
2335.611134,0.999431644,0.000683543
2335.611365,1.000743646,0.000683848
2335.611597,0.998641946,0.000683136
2335.611828,0.99832483,0.000683504
2335.61206,0.999557106,0.000683583
2335.612291,0.998782305,0.000683518
2335.612523,0.999176314,0.000683193
2335.612754,0.998209543,0.000682799
2335.612986,1.000108888,0.000683424
2335.613217,0.999160474,0.000683519
2335.613449,0.999780861,0.000683439
2335.61368,0.998402666,0.000683277
2335.613911,1.000199942,0.000683505
2335.614143,1.000145813,0.000683952
2335.614374,0.998536206,0.000683153
2335.614606,0.998566208,0.000682897
2335.614837,0.999410664,0.000683643
