pl_name,pl_letter,tic,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,ra,dec,sy_dist,sy_disterr1,sy_disterr2
HD 96700,d,23270430,0,103.5,0.1,-0.1,0,0.424,0.007,-0.007,0,0.322,,,0,0.27,0.08,-0.08,0,,,,,2455500,5,-5,0,G0 V,5845,13,-13,0,1.16,0.04,-0.04,0,166.9742616,-30.1751383,25.4111,0.0284,-0.0283
HD 96992,b,88704251,0,514,4,-4,0,1.24,0.05,-0.05,0,1.22,,,0,0.41,0.24,-0.12,0,,,,,2453620.5,30,-40,0,K0,4725,10,-10,0,7.43,1.1,-1.1,0,167.5966158,43.9189897,396.082,14.9565,-14.9565
HD 97037,b,143046056,0,6449.08337,141.956,-153.98638,0,6.925,0.283,-0.318,0,1.08,,,0,0.357,0.027,-0.03,0,,,,,2445839.855,250.108,-256.424,0,,5874.1,136.84,-118.16,0,1.26,0.06,-0.07,0,167.5545621,-7.3901483,32.413,0.0575,-0.0572
HD 97048,b,454291762,0,,,,,130,,,0,1.18,,,0,,,,,,,,,,,,,Be9.5/AO,10000,,,0,2.25,,,0,167.0133422,-77.654853,183.857,1.331,-1.313
HD 97658,b,82308728,0,9.4897116,0.0000008,-0.0000008,0,0.0805,0.001,-0.0011,0,0.189,0.005,-0.005,0,0.05,0.04,-0.03,0,2458904.937,0.0008,-0.0008,0,,,,,K1 V,5212,43,-43,0,0.73,0.01,-0.01,0,168.6376584,25.7105962,21.5618,0.0254,-0.0253
HD 98219,b,437246853,0,433.8,2,-2,0,1.26,0.12,-0.12,0,1.2,,,0,0.079,0.04,-0.04,0,,,,,2454633,47,-47,0,K0 III/IV,4925,,,0,4.6,,,0,169.4475218,-23.975488,113.704,0.578,-0.578
HD 98649,b,437258837,0,5697.3043,326.53593,-287.044,0,6.297,0.338,-0.336,0,1.12,,,0,0.841,0.023,-0.017,0,,,,,2449410.572,283.564,-319.025,0,G3/G5 V,5759,35,-35,0,1.01,0.02,-0.02,0,170.2147665,-23.2181063,42.1727,0.0878,-0.0875
HD 98736,b,3819571,0,968.8,2.2,-2.2,0,1.864,0.091,-0.091,0,1.19,,,0,0.226,0.064,-0.064,0,,,,,2463541,67,-67,0,G5,5271,,,0,0.93,0.04,-0.04,0,170.4549045,18.1896082,32.4459,0.0646,-0.0644
HD 99109,b,38158652,0,439.29999,5.6,-5.6,0,1.11,0.02,-0.02,0,1.28,,,0,0.09,0.12,-0.12,0,2451991,12,-11,0,2451310,80,-80,0,G8/K0 IV,5282,32,-32,0,0.98,0.02,-0.02,0,171.0715576,-1.529761,54.7901,0.1672,-0.1662
HD 99283,b,341687229,0,310.4,5.2,-1.7,0,1.08,0.05,-0.07,0,1.23,,,0,0.2,0.102,-0.146,0,,,,,2455291.1,256.1,-25.6,0,K0 III,4886,,,0,11.21,0.66,-0.39,0,171.4874082,55.8506653,111.093,0.719,-0.71
HD 99492,b,363549734,0,17.0503,0.0016,-0.0016,0,0.12,0,0,0,0.486,,,0,0.034,0.025,-0.021,0,2454297.94,0.43,-0.35,0,2450468.7,1.4,-1.4,0,K2 V,4929,44,-44,0,0.82,0.02,-0.02,0,171.689687,3.0071331,18.2038,0.0581,-0.0577
HD 99492,c,363549734,0,95.233,0.098,-0.096,0,,,,,0.394,,,0,0.063,0.06,-0.04,0,,,,,,,,,K2 V,4929,44,-44,0,0.82,0.02,-0.02,0,171.689687,3.0071331,18.2038,0.0581,-0.0577
HD 99706,b,148680230,0,841,32,-32,0,1.98,0.14,-0.14,0,1.22,,,0,0.25,0.16,-0.16,0,,,,,2455310,89,-89,0,K0,4862,,,0,5.52,,,0,172.1261621,43.9662025,146.6,1.122,-1.122
HD 99706,c,148680230,0,1278,151,-198,0,,,,,1.14,,,0,0.411,0.231,-0.178,0,,,,,2455383,249,-140,0,K0,4862,25,-25,0,5.4,0.1,-0.1,0,172.1261621,43.9662025,146.6,1.122,-1.122
HIP 105854,b,129649472,0,184.2,0.5,-0.5,0,0.81,0.03,-0.03,0,1.12,,,0,0.02,0.03,-0.03,0,,,,,2455262.4,2.4,-2.4,0,K2 III,4780,100,-100,0,10.31,0.55,-0.58,0,321.5962275,-37.8294782,78.6381,0.7437,-0.7437
HIP 107772,b,197602069,0,55.199,0.083,-0.083,0,0.243,0.011,-0.011,0,0.325,,,0,0.18,0.11,-0.11,0,,,,,2453199.6,11.2,-11.2,0,M0 V,4006,98,-153.81,0,0.51,0.03,-0.05,0,327.4977057,-41.2440371,23.6434,0.0243,-0.0242
HIP 107773,b,406320735,0,144.3,0.5,-0.5,0,0.72,0.03,-0.03,0,1.19,,,0,0.09,0.06,-0.06,0,,,,,2456202.3,12.8,-12.8,0,K1 III,4945,100,-100,0,11.6,1.4,-1.4,0,327.5005089,-64.7126993,105.18,0.811,-0.811
HIP 109384,b,316470945,0,499.48,0.32,-0.32,0,1.134,0.029,-0.029,0,1.21,,,0,0.549,0.003,-0.003,0,,,,,2456337.02,0.34,-0.34,0,G5,5180,45,-45,0,0.83,0.02,-0.01,0,332.408972,71.313956,58.9582,0.1187,-0.1183
HIP 109600,b,27864699,0,232.08,0.15,-0.15,0,0.706,0.016,-0.016,0,1.18,,,0,0.163,0.006,-0.006,0,,,,,2456017.1,1.1,-1.1,0,G5,5530,35,-35,0,0.97,0.03,-0.03,0,333.027079,29.0662082,66.3361,0.1917,-0.1906
HIP 113103,b,121490076,0,7.610303,0.000018,-0.000018,0,0.06899,0.00029,-0.00023,0,0.163,0.009,-0.006,0,0.17,0.17,-0.13,0,2458325.597,0.0033,-0.0024,0,,,,,,4930,100,-100,0,0.74,0.01,-0.01,0,343.5723794,-43.0102291,46.2122,0.0864,-0.086
HIP 113103,c,121490076,0,14.245648,0.000019,-0.000019,0,0.10479,0.00045,-0.00035,0,0.214,0.009,-0.007,0,0.17,0.17,-0.13,0,2458337.056,0.0019,-0.0019,0,,,,,,4930,100,-100,0,0.74,0.01,-0.01,0,343.5723794,-43.0102291,46.2122,0.0864,-0.086
HIP 114933,b,9007224,0,1481.6,61.7,-61.7,0,2.84,0.09,-0.09,0,1.2,,,0,0.21,0.08,-0.08,0,,,,,2455059.4,104.6,-104.6,0,K0 III,4823,59,-59,0,5.27,0.05,-0.05,0,349.2071949,-21.2033101,101.766,0.53,-0.53
HIP 116454,b,422618449,0,9.0949,0.0026,-0.0026,0,0.07765,0.00093,-0.00093,0,0.226,0.016,-0.016,0,0.089,,,1,2456907.887,0.029,-0.029,0,,,,,K1,5089,50,-50,0,0.72,0.02,-0.02,0,353.9543517,0.4447043,62.4491,0.1831,-0.182
HIP 12961,b,204614039,0,57.435,0.042,-0.042,0,0.25,0.01,-0.01,0,1.18,,,0,0.17,0.03,-0.03,0,,,,,,,,,M0,3901,175,-175,0,0.65,0.06,-0.06,0,41.6800749,-23.0860048,23.371,0.0185,-0.0184
HIP 14810,b,113810736,0,6.673892,0.000008,-0.000008,0,0.0696,0.0044,-0.0044,0,1.16,,,0,0.14399,0.00087,-0.00087,0,,,,,2463694.588,0.0067,-0.0067,0,G5,5544,,,0,1.07,0.08,-0.08,0,47.809275,21.0971302,50.48,0.1156,-0.1151
HIP 14810,c,113810736,0,147.747,0.029,-0.029,0,0.549,0.034,-0.034,0,1.22,,,0,0.1566,0.0099,-0.0099,0,,,,,2463786.4,1.2,-1.2,0,G5,5544,,,0,1.07,0.08,-0.08,0,47.809275,21.0971302,50.48,0.1156,-0.1151
HIP 14810,d,113810736,0,981.8,6.9,-6.9,0,1.94,0.13,-0.13,0,1.26,,,0,0.185,0.035,-0.035,0,,,,,2464194,40,-40,0,G5,5544,,,0,1.07,0.08,-0.08,0,47.809275,21.0971302,50.48,0.1156,-0.1151
HIP 19976,b,7623762,0,50.65905,0.06282,-0.0783,0,0.234,0.009,-0.01,0,0.441,,,0,0.304,0.2,-0.145,0,,,,,2455579.02,1.557,-40.779,0,,4316,130.32,-112.75,0,0.77,0.07,-0.06,0,64.2597881,-40.7985198,40.2707,0.0428,-0.0427
HIP 21152,b,452767166,0,22000,11000,-5800,0,17,5,-4,0,1.07,,,0,0.36,0.37,-0.25,0,2449000,15000,-4000,0,2463360,5307,-1419,0,F5 V,6655,125,-125,0,1.59,0.07,-0.06,0,68.0205209,5.4100745,43.4073,0.1311,-0.1303
HIP 29442,b,33692729,0,13.63083,0.00003,-0.00003,0,0.107,0.0016,-0.0016,0,0.31,0.006,-0.007,0,,,,,2459210.634,0.001,-0.001,0,,,,,,5289,69,-69,0,0.98,0.03,-0.03,0,93.0578446,-14.6493167,68.192,0.1772,-0.1763
HIP 29442,c,33692729,0,3.53796,0.00003,-0.00003,0,0.0436,0.0006,-0.0007,0,0.141,0.009,-0.01,0,,,,,2459207.252,0.004,-0.003,0,,,,,,5289,69,-69,0,0.98,0.03,-0.03,0,93.0578446,-14.6493167,68.192,0.1772,-0.1763
HIP 29442,d,33692729,0,6.42975,0.00009,-0.0001,0,0.0649,0.0009,-0.001,0,0.122,0.01,-0.01,0,,,,,2459225.259,0.005,-0.008,0,,,,,,5289,69,-69,0,0.98,0.03,-0.03,0,93.0578446,-14.6493167,68.192,0.1772,-0.1763
HIP 34222,b,91842379,0,159.986,2.6753,-2.9256,0,0.492,,,0,1.24,,,0,0.305,,,0,,,,,2458023.22,,,0,K7 V,4050,93.12,-145.69,0,0.62,0.07,-0.05,0,106.4257786,27.4704132,22.8386,0.027,-0.0269
HIP 35173,b,50992589,0,41.516,0.077,-0.077,0,0.217,0.004,-0.004,0,0.322,,,0,0.16,0.11,-0.11,0,,,,,,,,,K2 V,4881,55,-81,0,0.77,0.03,-0.02,0,109.0449329,-3.6661273,33.1562,0.0641,-0.0638
HIP 35965,b,291466351,0,26125.56497,13613.39551,-10171.69978,0,15.898,5.059,-4.506,0,1.12,,,0,0.138,0.107,-0.087,0,,,,,2448559.008,1885.116,-22599.173,0,,4836,133.64,-79.74,0,0.7,0.03,-0.05,0,111.2025182,-51.3257507,50.1677,0.0522,-0.052
HIP 38594,b,128902569,0,60.722,0.122,-0.122,0,0.256,0.003,-0.003,0,0.247,,,0,0.17,0.11,-0.11,0,,,,,2452956.2,13.9,-13.9,0,M0,4086.3,168.9,-97.3,0,0.63,0.02,-0.02,0,118.5439118,-25.3023073,17.7886,0.0095,-0.0095
HIP 38594,c,128902569,0,3477.768,229.001,-229.001,0,3.805,0.172,-0.172,0,0.708,,,0,0.16,0.1,-0.1,0,,,,,2451246.7,1337.9,-1337.9,0,M0,4086.3,168.9,-97.3,0,0.63,0.02,-0.02,0,118.5439118,-25.3023073,17.7886,0.0095,-0.0095
HIP 41378,b,366443426,0,15.572098,0.000018,-0.000019,0,,,,,0.224,0.013,-0.013,0,,,,,2457152.282,0.0012,-0.0012,0,,,,,F6,6226,43,-43,0,1.34,0.03,-0.03,0,126.6158279,10.0803708,106.289,0.676,-0.668
HIP 41378,c,366443426,0,31.70648,0.00024,-0.00019,0,,,,,0.228,0.036,-0.036,0,,,,,2457163.161,0.0023,-0.0027,0,,,,,F6,6226,43,-43,0,1.34,0.03,-0.03,0,126.6158279,10.0803708,106.289,0.676,-0.668
HIP 41378,d,366443426,0,1114,,,1,,,,,0.353,0.053,-0.053,0,0,,,0,2457166.26,0.0017,-0.0017,0,,,,,F6,6226,43,-43,0,1.34,0.03,-0.03,0,126.6158279,10.0803708,106.289,0.676,-0.668
HIP 41378,e,366443426,0,131,61,-36,0,,,,,0.492,0.069,-0.069,0,,,,,2457142.019,0.001,-0.001,0,,,,,F6,6226,43,-43,0,1.34,0.03,-0.03,0,126.6158279,10.0803708,106.289,0.676,-0.668
HIP 41378,f,366443426,0,1084,,,1,,,,,0.91,0.125,-0.125,0,,,,,2457186.914,0.00039,-0.00038,0,,,,,F6,6226,43,-43,0,1.34,0.03,-0.03,0,126.6158279,10.0803708,106.289,0.676,-0.668
HIP 4845,b,24250831,0,34.15,0.046,-0.046,0,0.176,0.007,-0.007,0,0.347,,,0,0.25,0.14,-0.14,0,,,,,2454702,5.6,-5.6,0,K7V,4010,123.37,-134.13,0,0.6,0.03,-0.07,0,15.5881733,-10.4246208,21.0974,0.0178,-0.0178
HIP 48714,b,287165117,0,17.818,0.002,-0.002,0,0.112,0.001,-0.001,0,0.456,,,0,0.5,0.08,-0.08,0,,,,,2451539.8,1,-1,0,M0.5 Ve,4015.5,166.5,-128.4,0,0.6,0.02,-0.02,0,149.0332672,62.7859505,10.5298,0.0043,-0.0043
HIP 5158,b,268634769,0,345.72,5.37,-5.37,0,0.89,,,0,1.21,,,0,0.52,0.08,-0.08,0,,,,,2454580.49,15.21,-15.21,0,,4962,89,-89,0,0.75,0.06,-0.06,0,16.5094891,-22.4536134,51.6026,0.1043,-0.1039
HIP 5158,c,268634769,0,9017.76,3180.74,-3180.74,0,7.7,1.88,-1.88,0,1.09,,,0,0.14,0.1,-0.1,0,,,,,,,,,,4813,207.69,-128.99,0,0.75,0.05,-0.09,0,16.5094891,-22.4536134,51.6026,0.1043,-0.1039
HIP 54373,b,410407964,0,7.76,0.003,-0.003,0,0.063,0.001,-0.001,0,0.256,,,0,0.2,0.11,-0.11,0,,,,,,,,,K5 V,4021,226,-146,0,0.56,0.02,-0.02,0,166.8643532,-19.2916857,18.7168,0.0164,-0.0164
HIP 54373,c,410407964,0,15.144,0.008,-0.008,0,0.099,0.002,-0.002,0,0.318,,,0,0.2,0.12,-0.12,0,,,,,,,,,K5 V,4021,226,-146,0,0.56,0.02,-0.02,0,166.8643532,-19.2916857,18.7168,0.0164,-0.0164
HIP 54597,b,20375215,0,3274,47,-46,0,4,0.1,-0.1,0,1.18,,,0,0.03,0.03,-0.02,0,,,,,2454482,672,-712,0,K5 V,4799,90,-90,0,0.66,0.03,-0.03,0,167.6082179,-29.4143018,39.7429,0.0664,-0.0663
